|scientific_name                  |common_name              |n  |
|Hamamelis hybr.                  |Hybridtroldnød           |1  |
|Betula ermanii                   |Kamchatka-birk           |1  |
|Acer betulifolia                 |Birkebladet løn          |1  |
|+Laburnocytisus adami            |Adams guldregn           |1  |
|Acer davidii                     |David-løn                |1  |
|Physocarpus opulifolius             |Amerikansk blærespiræa    |1  |
|Acer cappadonicum                   |Tyrkisk løn               |1  |
|Acer micranthum                     |Have-løn                  |1  |
|Sequoia sempervirens                |Rødtræ                    |1  |
|Hibiscus syriacus                   |Syrisk rose               |1  |
|Sorbaria arborea                    |Tusindtop                 |1  |
|Robinia luxurians                   |Pragtrobinie              |1  |
|Rhamnus imeritinus                  |Kaukasisk vrietorn        |1  |
|Betula hybr.                        |                          |1  |
|Pseudotsuga menziesii var. menziezii|Grøn douglasgran          |1  |
|Aronia hybr. prunifolia             |Blommebladet surbær       |1  |
|Populus balsamifera                 |Balsampoppel              |1  |
|Broussonetia papyrifera             |Papirmorbær               |1  |
|Osmanthus heterophyllus             |Djævletræ                 |1  |
|Acer pseudosieboldianum             |                          |1  |
|Malus hybr. robusta                 |Paradisæble               |1  |
|Symphoricapos albus                 |Hvid snebær               |1  |
|Celtis sinensis                     |Kinesisk nældetræ         |1  |
|Aesculus flava f. virginica         |Virginsk hestekastanje    |1  |
|Sorbus alnifolia                    |Ellebladet røn            |1  |
|Acer pensylvanicum                  |Stribet løn               |1  |
|Picea glauca                        |Hvidgran                  |1  |
|Aesculus flava                      |Gul hestekastanje         |1  |
|Acer capillipes                     |Rødstilket løn            |1  |
|Pinus ponderosa                     |Gul fyr                   |1  |
|Tsuga diversifolia                  |Japansk hemlock           |1  |
|Populus hybr. gileadensis           |Ontarisk poppel           |1  |
|Taxus baccata                       |Søjletaks                 |1  |
|Fothergilla major                   |Stor troldel              |1  |
|Poncirus trifoliatus                |Trebladet dværgcitron     |1  |
|Cercis siliquastrum                 |Europæisk judastræ        |1  |
|Cornus sanguinea                    |Rød kornel                |1  |
|Acer circinatum                     |Vinløn                    |1  |
|Amelanchier hybr. grandiflora       |                          |1  |
|Rhus vernciflua                     |Lak-giftsumak             |1  |
|Acer palmatum                       |Rødbladet japansk løn     |1  |
|Pinus strobus                       |Weymouthsfyr              |1  |
|Acer monspessulanum                 |Fransk løn                |1  |
|Acer palmatum                       |Brogetbladet japansk løn  |1  |
|Celtis australis                    |Europæisk nældetræ        |1  |
|Betula albosinensis                 |Rødbirk                   |1  |
|Cercis canadensis                   |Judastræ                  |1  |
|Corylus americana                   |Amerikansk hassel         |1  |
|Acer crataegifolium                 |Tjørnebladet løn          |1  |
|Staphylea colchica                  |Kaukasisk blærenød        |1  |
|Acer globosum                       |Kugleahorn                |1  |
|Pterocarya hybr. rhederiana         |                          |1  |
|Abies pinsabo                       |Spansk ædelgran           |1  |
|Aesculus parviflora                 |Busk-hestekastanje        |1  |
|Prunus cerasus                      |Surkirsebær               |1  |
|Quercus pontica                     |Armensk eg                |1  |
|Prunus persica                      |Fersken                   |1  |
|Quercus phellos                     |Pile-eg                   |1  |
|Hydrangea arboreum                  |Hortensia                 |1  |
|Acer elegantuleum                   |                          |1  |
|Magnolia hybr. thompsoniana         |                          |1  |
|Acer japonica                       |Fuldmåne-løn              |1  |
|Acer carpinifolium                  |Avnbøgbladet løn          |1  |
|Pyrus piperitum                     |Pære                      |1  |
|Picea abies                         |Slangegran                |1  |
|Salix pentandra                     |Femhannet pil             |1  |
|Kerria japonica                     |Ranunkelbusk              |1  |
|Acer hybr. zoeschense               |Hybrid-løn                |1  |
|Colutea arborescens                 |Almindelig blærebælg      |1  |
|Calocedrus decurrens                |Californisk flodceder     |1  |
|Rhododendron williamsianum          |Williamsianum rhododendron|1  |
|Acer nikoensis                      |Nikko-løn                 |1  |
