art;variant;sort;dansk_navn;n
Laburnum hybr. watereri;NA;NA;Hybrid-guldregn;16
Prunus sargentii;NA;Rancho;Sakhalinkirsebær;16
Ribes rubrum;NA;Rondom;Ribs 'Rondom';16
Malus hybr.;NA;Hyslop;Paradisæble 'Hyslop';15
Prunus hybr.;NA;Stevnsbær;Surkirsebær;15
Catalpa bignonioides;NA;NA;Almindelig trompetkrone;14
Malus sargentii;NA;NA;Sargents æble;14
Prunus serrula;NA;NA;Tibetansk kirsebær;14
Malus hybr.;NA;Professor Sprenger;Paradisæble 'Professor Sprenger';13
Laburnum hybr. watereri;NA;Vossii;Voss-guldregn;12
Mespilus germanica;NA;NA;Mispel;12
Parrotia persica;NA;NA;Papegøjebusk;12
Prunus domestica;NA;Mirabelle de Nancy;Blomme 'Mirabelle de Nancy';12
Pyrus nivalis;NA;NA;Snepære;12
Sambucus nigra;NA;NA;Almindelig hyld;12
Aesculus hybr. carnea;NA;Briotii;Rød hestekastanje;11
Cornus kousa;NA;NA;Koreakornel;11
Juglans nigra;NA;NA;Sort valnød;11
Zelkova serrata;NA;NA;Japansk zelkova;11
Albizia julibrissin;NA;NA;Silkerosentræ;10
Euonymus europaeus;NA;NA;Almindelig benved;10
Prunus hybr. hilleri;NA;Spire;Prydkirsebær ' Spire';10
Trachycarpus fortunei;NA;NA;Hørpalme;10
Araucaria araucana;NA;NA;Abetræ;9
Fraxinus americana;NA;Autumn Purple;Amerikansk ask 'Autumn purple';9
Fraxinus excelsior;NA;Diversifolia;Etbladet ask;9
Prunus serrulata;NA;Shirotae;Japansk prydkirsebær;9
Pyrus communis;NA;Doyenne de Comice;Pære 'Doyenne de Comice';9
Sorbus mougeotii;NA;NA;Sølvrøn;9
Acer tataricum;NA;NA;Russisk løn;8
Crataegus intricata;NA;NA;Skarlagentjørn;8
Magnolia hybr. loebneri;NA;Merrill;Magnolie hybr. loebneri 'Merrill';8
Malus hybr.;NA;Red Splendor;Paradisæble 'Red Splendor';8
Syringa vulgaris;NA;NA;Almindelig syren;8
Crataegus douglasii;NA;NA;Sort tjørn;7
Malus tschonoskii;NA;NA;Fujiyama-æble;7
Prunus mahaleb;NA;NA;Weichsel;7
Prunus serrulata;NA;Shirofugen;Japansk kirsebær;7
Quercus coccinea;NA;Splendens;Skarlagen-eg 'Splendens';7
Ribes nigrum;NA;Ben Alder;Solbær 'Ben Alder';7
Ribes rubrum;NA;Jonkheer Van Tets;Ribs 'Jonkheer Van Tets';7
Alnus inokumae;NA;NA;El (intet dansk artsnavn);6
Betula nigra;NA;NA;Sortbirk;6
Maclura pomifera;NA;NA;Orangemorbær;6
Magnolia hybr. soulangeana;NA;Susan;Almindelig magnolie;6
Malus hybr.;NA;Golden Hornet;Paradisæble 'Golden Hornet';6
Populus acuminata;NA;NA;Lancetbladet poppel;6
Populus lasiocarpa;NA;NA;Rabarberpoppel;6
Pyrus communis;NA;Clara Frijs;Clara Frijs-pære;6
Rhus typhina;NA;NA;Hjortetaktræ;6
Styrax japonica;NA;NA;Japansk storaks;6
Ulmus hybr.;NA;Vada;Elm 'Vada';6
Acer argutum;NA;NA;Japansk løn;5
Euonymus sachaliensis;NA;NA;Japansk benved;5
Hippophaë rhamnoides;NA;NA;Havtorn;5
Malus hybr.;NA;Neville Copeman;Paradisæble 'Neville Copeman';5
Morus alba;NA;NA;Hvid morbær;5
Rhamnus frangula;NA;NA;Tørst;5
Rhus potaninii;NA;NA;Kinesisk sumak;5
Ribes uva-crispa;NA;NA;Stikkelsbær;5
Viburnum opulus;NA;NA;Almindelig kvalkved;5
Acer palmatum;NA;Ozakazaku;Japansk løn;4
Betula maximowicziana;NA;NA;Ellebladet birk;4
Buddleja davidii;NA;NA;Sommerfuglebusk;4
Crataegus prunifolia;NA;Splendens;Glansbladet tjørn;4
Fagus sylvatica;NA;Asplenifolia;Bregnebøg;4
Gymnocladus dioicus;NA;NA;Stennød;4
Malus sylvestris;NA;Masyl;Skovæble 'Masyl';4
Malus trilobata;NA;NA;Æble (intet dansk artsnavn);4
Prunus domestica;NA;Opal;Blomme 'Opal';4
Prunus hybr.;NA;Stella;Kirsebær 'Stella';4
Prunus maackii;NA;NA;Mandshurisk kirsebær;4
Zanthoxylum piperitum;NA;NA;Japansk peber;4
Acer palmatum;NA;NA;Japansk løn;3
Acer rufinerve;NA;NA;Rødnervet løn;3
Aesculus glabra;NA;NA;Glat hestekastanje;3
Amelanchier lamarckii;NA;NA;Almindelig bærmispel;3
Aronia melanocarpa;NA;NA;Sortfrugtet surbær;3
Asimina triloba;NA;NA;Indiansk banan (pawpaw);3
