raw_dansk_navn,common_name,n
Skarlagen-eg 'Splendens',Skarlagen-eg,7
Æble 'Jame Grieve',Almindelig æble 'James Grieve',7
Søjle skovfyr,Søjle-skovfyr,6
Elm 'Vada',Hybridelm 'Vada',6
Clara Frijs-pære,Almindelig pære 'Clara Frijs',6
Skovæble 'Masyl',Skovæble,6
Æble discovery,Almindelig æble 'Discovery',5
Hanesporetjørn 'Inermis',Hanesporetjørn,5
Almindelig æble,Almindelig æble 'Ildrød Pigeon',5
Shantung ahorn,Shantung-løn,5
Cox orange æble,Almindelig æble 'Cox Orange',5
Æble 'Katinka',Almindelig æble 'Katinka',5
Japansk Løn,Japansk løn,5
Kastanie,Kastanje,5
Æble 'Belle De Boskoop',Almindelig æble 'Rød Belle De Boskoop',5
Ene 'Sky Rocket',Blyant-ene,4
Kirsebær 'Stella',Kirsebær,4
Ene,Almindelig ene,4
Æble 'Rød aroma',Almindelig æble 'Rød aroma',4
Paradisæble,Japansk prydæble,4
Blå Douglasgran,Blå douglasgran,4
Bjerg-Hemlock,Bjerg-hemlock,3
Charneau pære,Almindelig pære 'Charneau',3
Kirsebær 'Lapins',Sødkirsebær,3
Kirsebær 'Kordia',Sødkirsebær,3
Bitræ,Honningtræ,3
Pære 'Herrepære',Almindelig pære 'Herrepære',3
Glat Hestekastanje,Glat hestekastanje,3
Æble 'Snowdrift',Paradisæble,3
Æble 'Nanna',Almindelig æble 'Nanna',3
Æble 'Topaz',Almindelig æble 'Topaz',3
Surbær,Sortfrugtet surbær,3
Hybrid-Troldnød,Hybrid-troldnød,3
Æble 'Bøghs citronæble',Almindelig æble 'Bøghs citronæble',3
Alm. æble 'Cox Queen',Almindelig æble 'Cox Queen',3
Blomme,Blomme 'Toptaste',3
Olmsted løn,Spidsløn,3
Conference-pære,Almindelig pære 'Conference',3
Tempeltræ 'Saratoga',Tempeltræ,3
Indiansk banan (Pawpaw),Indiansk banan (pawpaw),3
Paradisæble,Paradisæble 'David',3
Æble 'Bramley's Seedlings',Almindelig æble 'Bramley's Seedling',3
Sødkirsebær 'Hedelfinger',Sødkirsebær,3
Sten-Eg,Sten-eg,2
Æble 'Alice Balsgaard',Almindelig æble 'Alice Balsgaard',2
Syren-slægten,Syren,2
Hængebirk,Vortebirk,2
Benved,Storbladet benved,2
Alm. æble 'Signe Tillisch',Almindelig æble 'Signe Tillisch',2
Californisk Nøddetaks,Californisk nøddetaks,2
Parybusk,Parykbusk,2
Skarlagens Eg,Skarlagen-eg,2
Victoria-blomme,Blomme 'Victoria',2
Buxbom,Buksbom,2
Sødkirsebær 'Dönnisens gule',Sødkirsebær,2
Poppel,Gråpoppel,2
Pære,Almindelig pære,2
Tempeltræ 'Fastigata',Tempeltræ,2
