uuid,code,column,value_from,value_to,ruleset,message,severity
fc64871f-dbbb-4c84-80b8-74b0873b39e6,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
fd36a1a4-b7eb-4e02-a249-5dd732aa73b9,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
87721a4b-d610-435f-b2ac-e1df10d1ec33,YEAR_RANGE,planteaar,2027,NA,NA,year outside allowed range,NA
43373361-4b74-46ec-a0cb-df509618025d,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
a812a452-5764-4fb1-b67b-65d2fb0be25f,ILLEGAL_CHAR_LATIN,traeart,Tetradium daniéllii,Tetradium daniellii,NA,remove accents,NA
0b129125-d5a4-4ae0-ad6a-37e6440fa48f,ILLEGAL_CHAR_LATIN,traeart,Prúnus sérrula,Prunus serrula,NA,remove accents,NA
e11cbee3-d24c-49db-9c24-d565effab7da,ILLEGAL_CHAR_LATIN,traeart,Fágus sylvática 'Atropunicea',Fagus sylvatica 'Atropunicea',NA,remove accents,NA
2e130a9d-7540-4002-910f-61d06f8f4e3e,ILLEGAL_CHAR_LATIN,traeart,Sórbus commíxta,Sorbus commixta,NA,remove accents,NA
a56c85b2-612a-4170-b212-c5a20414d8e1,ILLEGAL_CHAR_LATIN,traeart,Sórbus commíxta,Sorbus commixta,NA,remove accents,NA
6231f875-3a42-466d-947f-f7ccde9f7076,ILLEGAL_CHAR_LATIN,traeart,Bétula papyrífera,Betula papyrifera,NA,remove accents,NA
a1a068f9-856e-4b8d-b5db-0e2db953a9d0,ILLEGAL_CHAR_LATIN,traeart,Pterocárya fraxinifólia,Pterocarya fraxinifolia,NA,remove accents,NA
4a614081-f754-4c24-9321-670864d4f473,ILLEGAL_CHAR_LATIN,traeart,Liquidámbar styracíflua,Liquidambar styraciflua,NA,remove accents,NA
504c424c-a9dd-4506-9d6c-2f80afc263d8,ILLEGAL_CHAR_LATIN,traeart,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',NA,remove accents,NA
e5903494-d482-4fd9-96d8-ba57d7d8508b,ILLEGAL_CHAR_LATIN,traeart,Amelánchier laevis,Amelanchier laevis,NA,remove accents,NA
db76a552-8be0-4c01-9408-47370054348c,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
71d5c421-7fdb-49e2-88c1-c04f21d49f35,ILLEGAL_CHAR_LATIN,traeart,Méspilus germánica,Mespilus germanica,NA,remove accents,NA
c0bd14fe-4f79-41d3-ada7-b9974bfda79b,ILLEGAL_CHAR_LATIN,traeart,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',NA,remove accents,NA
a751a06c-e7ef-470f-9e06-88189c22fb71,ILLEGAL_CHAR_LATIN,traeart,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',NA,remove accents,NA
b7b039ec-3bf3-4716-80f7-a014c8818189,ILLEGAL_CHAR_LATIN,traeart,Nothofágus antárctica,Nothofagus antarctica,NA,remove accents,NA
6e85e10e-f539-40e3-9be9-5c48194e1b12,ILLEGAL_CHAR_LATIN,traeart,Davídia involuncráta,Davidia involuncrata,NA,remove accents,NA
3e1d9b18-b71a-4f16-929f-98ce5520bcaa,ILLEGAL_CHAR_LATIN,traeart,Davídia involuncráta,Davidia involuncrata,NA,remove accents,NA
afcb6621-7203-434e-8211-a787eb99a940,ILLEGAL_CHAR_LATIN,traeart,Paulównia tomentósa,Paulownia tomentosa,NA,remove accents,NA
46a6fb97-363d-48a0-bb4e-6cf745883097,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
32bbb98e-568c-4b02-9636-4b22685cfc2f,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
3ac78042-1983-4f9c-929a-79530d02d279,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
03c43738-e7e9-467f-8553-eec9703a6b1c,ILLEGAL_CHAR_LATIN,traeart,Sórbus commíxta,Sorbus commixta,NA,remove accents,NA
8baf207e-16b9-4430-b56f-2294d38f7b7c,ILLEGAL_CHAR_LATIN,traeart,Sórbus commíxta,Sorbus commixta,NA,remove accents,NA
7eb1826a-63af-40cb-a09a-ce86e62d6e39,ILLEGAL_CHAR_LATIN,traeart,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',NA,remove accents,NA
4cbde00f-61c8-4068-a213-42de517184eb,ILLEGAL_CHAR_LATIN,traeart,Pterocárya fraxinifólia,Pterocarya fraxinifolia,NA,remove accents,NA
9ec717e3-d962-4713-9c23-6c205374732e,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
3dd2c66d-506d-4373-aa30-40e5b942869b,ILLEGAL_CHAR_LATIN,traeart,Fágus orientális,Fagus orientalis,NA,remove accents,NA
f4c3d719-87b7-45e8-8f05-7b8ab3abfc06,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
cbf3f14e-3d00-4d2e-91ab-0705999d97e9,ILLEGAL_CHAR_LATIN,traeart,Fágus sylvática 'Asplenifolia',Fagus sylvatica 'Asplenifolia',NA,remove accents,NA
b44a2db1-d6cc-43ad-bdb0-01cb4dd103c6,ILLEGAL_CHAR_LATIN,traeart,Davídia involuncráta,Davidia involuncrata,NA,remove accents,NA
b6abb2ad-7b90-4542-8098-049b2b03dc08,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
53ef5ff2-1bfe-41d8-af25-726e4292570e,ILLEGAL_CHAR_LATIN,traeart,Cercidiphýllum japónicum,Cercidiphyllum japonicum,NA,remove accents,NA
b4b002a1-e1a6-4119-8d6d-a9aaf94b5773,ILLEGAL_CHAR_LATIN,traeart,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',NA,remove accents,NA
a1820d01-822e-47c1-ac01-9d0db90974b4,ILLEGAL_CHAR_LATIN,traeart,Prúnus sérrula,Prunus serrula,NA,remove accents,NA
9184bac7-684b-4b84-8ec5-baee13a1cfe9,ILLEGAL_CHAR_LATIN,traeart,Magnólia sp.,Magnolia sp.,NA,remove accents,NA
30014b3a-1fd1-4703-b001-e4fcbdef5b24,ILLEGAL_CHAR_LATIN,traeart,Magnólia sp.,Magnolia sp.,NA,remove accents,NA
9a4e3d16-f6f2-4117-8274-5b09ab79104c,ILLEGAL_CHAR_LATIN,traeart,Ácer rúbrum,Acer rubrum,NA,remove accents,NA
5bf47833-580b-46fd-9684-afc9c4e2b2a1,ILLEGAL_CHAR_LATIN,traeart,Amelánchier laevis,Amelanchier laevis,NA,remove accents,NA
843d9f92-bd6c-4ffa-8208-df3d27406ba3,ILLEGAL_CHAR_LATIN,traeart,Amelánchier laevis,Amelanchier laevis,NA,remove accents,NA
5d7c274c-f6bb-40cb-bf83-5dc3cf28f019,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
6259b1d9-307f-4a9c-90a6-2b0eb893c7fc,ILLEGAL_CHAR_LATIN,traeart,Cercidiphýllum japónicum,Cercidiphyllum japonicum,NA,remove accents,NA
683dfd55-b041-4b8e-b5a1-8e1b757182ce,ILLEGAL_CHAR_LATIN,traeart,Cercidiphýllum japónicum,Cercidiphyllum japonicum,NA,remove accents,NA
3c0ddbd4-7320-4170-ad18-57861d9200d9,ILLEGAL_CHAR_LATIN,traeart,Cercidiphýllum japónicum,Cercidiphyllum japonicum,NA,remove accents,NA
dbdf174f-72fa-4596-8040-d2618b56121a,ILLEGAL_CHAR_LATIN,traeart,Méspilus germánica,Mespilus germanica,NA,remove accents,NA
fa41fddd-59e9-469a-9411-a11c64315f3b,ILLEGAL_CHAR_LATIN,traeart,Mórus nígra,Morus nigra,NA,remove accents,NA
3d7ad2bd-402b-4c6b-81a1-85497cf0e4e3,ILLEGAL_CHAR_LATIN,traeart,Mórus nígra,Morus nigra,NA,remove accents,NA
d3d64778-09b6-4809-bf1f-5da7f692b60a,ILLEGAL_CHAR_LATIN,traeart,Cercidiphýllum japónicum,Cercidiphyllum japonicum,NA,remove accents,NA
8c25401e-7bdc-4182-b9bd-2813bfec6540,ILLEGAL_CHAR_LATIN,traeart,Mórus nígra,Morus nigra,NA,remove accents,NA
67f60b31-fce3-4fc1-9ecd-9f3612efc42b,ILLEGAL_CHAR_LATIN,traeart,Mórus nígra,Morus nigra,NA,remove accents,NA
afcba1c9-53bd-412a-8c96-584a67c9ee83,ILLEGAL_CHAR_LATIN,traeart,Cercidiphýllum japónicum,Cercidiphyllum japonicum,NA,remove accents,NA
47d04267-8bff-4dd3-9901-0565616049c0,ILLEGAL_CHAR_LATIN,traeart,Cercidiphýllum japónicum,Cercidiphyllum japonicum,NA,remove accents,NA
b243d887-e66a-42cb-b5e5-192f75d0185c,ILLEGAL_CHAR_LATIN,traeart,Cedrús líbani,Cedrus libani,NA,remove accents,NA
b6b31cfd-2c42-43e9-b4c2-a434da46f867,ILLEGAL_CHAR_LATIN,traeart,Sórbus commíxta,Sorbus commixta,NA,remove accents,NA
38ec41f1-d25f-44ea-a3ce-27368b86c9c8,ILLEGAL_CHAR_LATIN,traeart,Mórus álba,Morus alba,NA,remove accents,NA
ee2ad692-75d8-49e6-8e24-ffb8fd5ceaab,ILLEGAL_CHAR_LATIN,traeart,Cedrús líbani,Cedrus libani,NA,remove accents,NA
fa5827be-bd19-4282-862e-bdef6b0d05d8,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
58d14324-4f5a-4594-8945-f4d97572650c,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
ba6426b4-1717-4cb4-a879-9bb8bf9c6167,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
918a7cbf-cf16-414a-a212-b361e3d2af01,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
cb8796a6-9a1a-4477-a5fe-b823040b7f6d,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
8d0cd99d-7cb7-4893-bf97-52dcd558fbf2,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
6d467a23-e3f2-4991-af80-d9ddad88feb2,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
ea5782c7-0b96-4455-ad48-0966c0f39a40,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
477c580d-0198-4cda-863b-310d7dfa9b74,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
2f5c71de-f666-4db6-a980-f876c7ae3344,ILLEGAL_CHAR_LATIN,traeart,Mórus nígra,Morus nigra,NA,remove accents,NA
ec247f37-c270-4132-96a4-37cf7c7d8dfa,ILLEGAL_CHAR_LATIN,traeart,Pterocárya fraxinifólia,Pterocarya fraxinifolia,NA,remove accents,NA
fee42298-faf7-480c-b6df-7db5f477a1ba,ILLEGAL_CHAR_LATIN,traeart,Cedrús atlántica,Cedrus atlantica,NA,remove accents,NA
d4c1defb-d4c6-40cf-9ec8-397d74b65109,ILLEGAL_CHAR_LATIN,traeart,Davídia involuncráta,Davidia involuncrata,NA,remove accents,NA
c262c3c1-2502-4b42-ab32-d103f35ba0fc,ILLEGAL_CHAR_LATIN,traeart,Táxus baccáta,Taxus baccata,NA,remove accents,NA
d1849317-ea57-47f2-bace-dcde03fdee39,ILLEGAL_CHAR_LATIN,traeart,Mórus nígra,Morus nigra,NA,remove accents,NA
8c249f2b-bcd4-4ffe-8dc1-280372d47f6c,ILLEGAL_CHAR_LATIN,traeart,Júglans nígra,Juglans nigra,NA,remove accents,NA
d5615aad-f04f-4538-aba8-f20201505967,ILLEGAL_CHAR_LATIN,traeart,Paulównia tomentósa,Paulownia tomentosa,NA,remove accents,NA
8665a9c2-1785-4ce2-80b1-4cfdbf9ec56e,ILLEGAL_CHAR_LATIN,traeart,Nothofágus antárctica,Nothofagus antarctica,NA,remove accents,NA
ffe32374-5ffb-4e7e-ad3b-0c979621a82d,ILLEGAL_CHAR_LATIN,traeart,Nothofágus antárctica,Nothofagus antarctica,NA,remove accents,NA
ad20acc7-bf5b-44de-82c4-f7437f5ed84e,ILLEGAL_CHAR_LATIN,traeart,Catálpa bignonioídes,Catalpa bignonioides,NA,remove accents,NA
3e3682c5-3735-4af2-a068-f7b67118bcb7,ILLEGAL_CHAR_LATIN,traeart,Pterocárya fraxinifólia,Pterocarya fraxinifolia,NA,remove accents,NA
595981dc-d8e6-44f1-8fb8-e453ca4646d8,ILLEGAL_CHAR_LATIN,traeart,Amelánchier laevis,Amelanchier laevis,NA,remove accents,NA
878b3e36-fff8-48ec-a879-0930a57f15fe,ILLEGAL_CHAR_LATIN,traeart,Liquidámbar styracíflua,Liquidambar styraciflua,NA,remove accents,NA
608ae558-a501-486e-b961-9e96a7e7fb2d,ILLEGAL_CHAR_LATIN,traeart,Liquidámbar styracíflua,Liquidambar styraciflua,NA,remove accents,NA
66f060b8-ff3b-457f-9dec-15323acc347d,ILLEGAL_CHAR_LATIN,traeart,Cedrús líbani,Cedrus libani,NA,remove accents,NA
f7f86078-7f8d-47a3-8b9b-9f9c56c9e2b2,ILLEGAL_CHAR_LATIN,traeart,Catálpa bignonioídes,Catalpa bignonioides,NA,remove accents,NA
568351b7-7f73-41f9-a226-7691a56a512a,ILLEGAL_CHAR_LATIN,traeart,Fágus orientális,Fagus orientalis,NA,remove accents,NA
d74482bf-f883-4b4e-8b34-3ab609fa870f,ILLEGAL_CHAR_LATIN,traeart,Fágus orientális,Fagus orientalis,NA,remove accents,NA
f88777ea-8a87-4686-b872-4758101ed4b4,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
f10d5f74-7c2d-49f3-a7d4-1a2f263a484e,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
c37e3ca2-be70-4e8f-9a41-0858c8493e7c,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
7f1b2133-5464-4fc9-bad9-f298db0fa997,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
