art;variant;sort;replacement;note;priority
Gleditsia triacanthos;NA;Sunburst;Almindelig tretorn;change danish name based on latin name;NA
Gleditsia triacanthos;NA;Skyline;Almindelig tretorn;change danish name based on latin name;NA
Gleditsia triacanthos;NA;NA;Almindelig tretorn;change danish name based on latin name;NA
Gleditsia triacanthos;f. inermis;NA;Tretorn;change danish name based on latin name;NA
Gymnocladus dioicus;NA;NA;Stennød;change danish name based on latin name;NA
Hamamelis hybr. intermedia;NA;NA;Hybrid-troldnød;change danish name based on latin name;NA
Hamamelis hybr. intermedia;NA;Brevipetala;Troldnød;change danish name based on latin name;NA
Hamamelis sp.;NA;NA;Troldnød;change danish name based on latin name;NA
Heptacodium miconioides;NA;NA;Himlens syv sønner;change danish name based on latin name;NA
Hibiscus syriacus;NA;NA;Syrisk rose;change danish name based on latin name;NA
Hippophae rhamnoides;NA;NA;Havtorn;change danish name based on latin name;NA
Hydrangea arboreum;NA;NA;Hortensia;change danish name based on latin name;NA
Ilex aquifolium;NA;NA;Almindelig kristtorn;change danish name based on latin name;NA
Ilex meserveae;NA;NA;Kristtorn 'Blå';change danish name based on latin name;NA
Ilex sp.;NA;NA;Kristtorn;change danish name based on latin name;NA
Juglans nigra;NA;NA;Sort valnød;change danish name based on latin name;NA
Juglans regia;NA;NA;Almindelig valnød;change danish name based on latin name;NA
Juglans sp.;NA;NA;Valnød;change danish name based on latin name;NA
Juniperus communis;NA;Hibernica;Ene;change danish name based on latin name;NA
Juniperus sp.;NA;NA;Ene;change danish name based on latin name;NA
Juniperus virginiana;NA;Sky Rocket;Ene 'Sky Rocket';change danish name based on latin name;NA
Kerria japonica;NA;NA;Ranunkelbusk;change danish name based on latin name;NA
Koelreuteria paniculata;NA;NA;Kinesertræ;change danish name based on latin name;NA
Kolkwitzia amabilis;NA;NA;Dronningebusk;change danish name based on latin name;NA
Laburnum sp.;NA;NA;Guldregn;change danish name based on latin name;NA
Laburnum watereri;NA;NA;Hybrid-guldregn;change danish name based on latin name;NA
Laburnum watereri;NA;Vossii;Voss-guldregn;change danish name based on latin name;NA
Larix decidua;NA;NA;Europæisk lærk;change danish name based on latin name;NA
Larix hybr. eurolepis;NA;NA;Hybrid-lærk;change danish name based on latin name;NA
Larix hybr. eurolepis;NA;NA;Lærk;change danish name based on latin name;NA
Larix kaempferi;NA;NA;Japansk lærk;change danish name based on latin name;NA
Larix sp.;NA;NA;Lærk;change danish name based on latin name;NA
Liquidambar sp.;NA;NA;Ambratræ;change danish name based on latin name;NA
Liquidambar styraciflua;NA;Worplesdon;Ambratræ;change danish name based on latin name;NA
Liquidambar styraciflua;NA;NA;Virginsk ambratræ;change danish name based on latin name;NA
Liriodendron tulipifera;NA;NA;Almindelig tulipantræ;change danish name based on latin name;NA
Maclura pomifera;NA;NA;Orangemorbær;change danish name based on latin name;NA
Magnolia hybr.;NA;Galaxy;Magnolie 'Galaxy';change danish name based on latin name;NA
Magnolia hybr. loebneri;NA;Merrill;Magnolie hybr. loebneri 'Merrill';change danish name based on latin name;NA
Magnolia hybr. soulangeana;NA;Susan;Almindelig magnolie;change danish name based on latin name;NA
Magnolia hybr. soulangeana;NA;NA;Almindelig magnolie;change danish name based on latin name;NA
Magnolia hybr. thompsoniana;NA;NA;NA;change danish name based on latin name;NA
Magnolia kobus;NA;NA;Japansk magnolie;change danish name based on latin name;NA
Magnolia sp.;NA;NA;Magnolie;change danish name based on latin name;NA
Mespilus germanica;NA;NA;Mispel;change danish name based on latin name;NA
Mespilus sp.;NA;NA;Mispel;change danish name based on latin name;NA
Metasequoia glyptostroboides;NA;NA;Vandgran;change danish name based on latin name;NA
Morus alba;NA;NA;Hvid morbær;change danish name based on latin name;NA
Morus nigra;NA;NA;Sort morbær;change danish name based on latin name;NA
Nothofagus antarctica;NA;NA;Antarktisk sydbøg;change danish name based on latin name;NA
Nyssa sylvatica;NA;NA;Tupelotræ;change danish name based on latin name;NA
Osmanthus heterophyllus;NA;NA;Djævletræ;change danish name based on latin name;NA
Ostrya carpinifolia;NA;NA;Europæisk humlebøg;change danish name based on latin name;NA
Ostrya sp.;NA;NA;Humlebøg;change danish name based on latin name;NA
Parrotia persica;NA;NA;Papegøjebusk;change danish name based on latin name;NA
Paulownia tomentosa;NA;NA;Kejsertræ;change danish name based on latin name;NA
Phellodendron amurense;NA;NA;Amur korktræ;change danish name based on latin name;NA
Phillyrea vilmoriniana;NA;NA;Stenved;change danish name based on latin name;NA
Physocarpus opulifolius;NA;El Diabolo;Rødbladet blærespirea;change danish name based on latin name;NA
Picea abies;NA;NA;Rødgran;change danish name based on latin name;NA
Picea abies;NA;Virgata;Slangegran;change danish name based on latin name;NA
Picea glauca;NA;NA;Hvidgran;change danish name based on latin name;NA
Picea glauca;NA;Conica;Sukkertopgran;change danish name based on latin name;NA
Picea omorika;NA;NA;Omorika-gran;change danish name based on latin name;NA
Picea orientalis;NA;NA;Orientalsk gran;change danish name based on latin name;NA
Picea pungens;NA;NA;Blågran;change danish name based on latin name;NA
Picea pungens;NA;Argenta;Blågran;change danish name based on latin name;NA
Picea sp.;NA;NA;Gran;change danish name based on latin name;NA
Pinus bungeana;NA;NA;Bungefyr;change danish name based on latin name;NA
Pinus cembra;NA;NA;Cembra-fyr;change danish name based on latin name;NA
Pinus mugo;NA;NA;Bjergfyr;change danish name based on latin name;NA
Pinus mugo;NA;Pumillo;Dværgfyr;change danish name based on latin name;NA
Pinus nigra;var. corsicana;NA;Korsikansk fyr;change danish name based on latin name;NA
Pinus nigra;NA;NA;Sortfyr;change danish name based on latin name;NA
Pinus parviflora;NA;NA;Penselfyr;change danish name based on latin name;NA
Pinus peuce;NA;NA;Silkefyr;change danish name based on latin name;NA
Pinus ponderosa;NA;NA;Gul fyr;change danish name based on latin name;NA
Pinus sp.;NA;NA;Fyr;change danish name based on latin name;NA
Pinus strobus;NA;NA;Weymouthsfyr;change danish name based on latin name;NA
Pinus sylvestris;NA;NA;Skovfyr;change danish name based on latin name;NA
Pinus sylvestris;NA;Typ Norwegen;Norsk skovfyr;change danish name based on latin name;NA
Pinus sylvestris;NA;Fastigiata;Søjle-skovfyr;change danish name based on latin name;NA
Pinus tabuliformis;NA;NA;Måttefyr;change danish name based on latin name;NA
Pinus wallichiana;NA;NA;Tårefyr;change danish name based on latin name;NA
Pistacie chinensis;NA;NA;Kinesisk pistacie;change danish name based on latin name;NA
Platanus hybr. acerifolia;NA;NA;Platan;change danish name based on latin name;NA
Platanus orientalis;NA;NA;Orientalsk platan;change danish name based on latin name;NA
Platanus sp.;NA;NA;Platan;change danish name based on latin name;NA
Poncirus trifoliatus;NA;NA;Dværgcitron;change danish name based on latin name;NA
Populus acuminata;NA;NA;Lancetbladet poppel;change danish name based on latin name;NA
Populus alba;NA;Nivea;Sølvpoppel;change danish name based on latin name;NA
Populus balsamifera;NA;NA;Balsampoppel;change danish name based on latin name;NA
Populus hybr. canadensis;NA;NA;Landevejspoppel;change danish name based on latin name;NA
Populus hybr. canadensis;NA;Bachalierii;Landevejspoppel 'Bachalierii';change danish name based on latin name;NA
Populus hybr. canadensis;NA;De Moffat;Landevejspoppel;change danish name based on latin name;NA
Populus hybr. canescens;NA;NA;Gråpoppel;change danish name based on latin name;NA
Populus hybr. gileadensis;NA;NA;Ontarisk poppel;change danish name based on latin name;NA
Populus koreana;NA;NA;Vårpoppel;change danish name based on latin name;NA
Populus lasiocarpa;NA;NA;Rabarberpoppel;change danish name based on latin name;NA
Populus nigra;NA;Vereecken;Sortpoppel;change danish name based on latin name;NA
Populus nigra;NA;Italica;Søjleformet sortpoppel;change danish name based on latin name;NA
Populus simonii;NA;Fastgiata;Simon-poppel;change danish name based on latin name;NA
Populus sp.;NA;NA;Poppel;change danish name based on latin name;NA
Populus tremula;NA;NA;Bævreasp;change danish name based on latin name;NA
Populus tremula;NA;Erecta;Søjleformet bævreasp;change danish name based on latin name;NA
Populus trichocarpa;NA;NA;Vestamerikansk balsampoppel;change danish name based on latin name;NA
Prunus;NA;Italiensk sveske;Blomme 'Italiensk sveske';change danish name based on latin name;NA
Prunus americana;NA;NA;Amerikansk blomme;change danish name based on latin name;NA
Prunus avium;NA;NA;Fuglekirsebær;change danish name based on latin name;NA
Prunus avium;NA;Plena;Fyldtblomstret fuglekirsebær;change danish name based on latin name;NA
Prunus avium;NA;Kordia;Kirsebær 'Kordia';change danish name based on latin name;NA
Prunus avium;NA;Lapins;Kirsebær 'Lapins';change danish name based on latin name;NA
Prunus avium;NA;Sam;Kirsebær 'Sam';change danish name based on latin name;NA
Prunus avium;NA;Van;Kirsebær 'Van';change danish name based on latin name;NA
Prunus avium;NA;Dönnissens gule;Sødkirsebær 'Dönnisens gule';change danish name based on latin name;NA
Prunus avium;NA;Hedelfinger;Sødkirsebær 'Hedelfinger';change danish name based on latin name;NA
Prunus avium;NA;Merton Glory;Sødkirsebær 'Merton Glory';change danish name based on latin name;NA
Prunus avium;NA;Sunburst;Sødkirsebær 'Sunburst';change danish name based on latin name;NA
Prunus cerasifera;NA;Nigra;Blodblomme;change danish name based on latin name;NA
Prunus cerasifera;NA;Atropupurea;Blodblomme;change danish name based on latin name;NA
Prunus cerasifera;NA;NA;Kirsebærblomme/mirabel;change danish name based on latin name;NA
Prunus cerasus;NA;NA;Surkirsebær;change danish name based on latin name;NA
Prunus domestica;NA;Toptaste;Blomme;change danish name based on latin name;NA
Prunus domestica;NA;Czar;Blomme 'Czar';change danish name based on latin name;NA
Prunus domestica;NA;Jubilæum;Blomme 'Jubilæum';change danish name based on latin name;NA
Prunus domestica;NA;Mirabelle de Nancy;Blomme 'Mirabelle de Nancy';change danish name based on latin name;NA
Prunus domestica;NA;Opal;Blomme 'Opal';change danish name based on latin name;NA
Prunus domestica;NA;Ouillins Reine Claude;Blomme 'Ouillins Reine Claude';change danish name based on latin name;NA
Prunus domestica;NA;Rivers Early Prolific;Blomme 'Rivers Early Prolific';change danish name based on latin name;NA
Prunus domestica;ssp. insisitia;NA;Kræge;change danish name based on latin name;NA
Prunus domestica;NA;Victoria;Victoria-blomme;change danish name based on latin name;NA
Prunus hybr.;NA;Stella;Kirsebær 'Stella';change danish name based on latin name;NA
Prunus hybr.;NA;Stevnsbær;Surkirsebær;change danish name based on latin name;NA
Prunus hybr. amygdalo-persica;NA;NA;Ferskenmandel;change danish name based on latin name;NA
Prunus hybr. hilleri;NA;Spire;Prydkirsebær ' Spire';change danish name based on latin name;NA
Prunus hybr. yedoensis;NA;NA;Yoshino-kirsebær;change danish name based on latin name;NA
Prunus maackii;NA;NA;Mandshurisk kirsebær;change danish name based on latin name;NA
Prunus maackii;NA;Amber Shade;Mandshurisk kirsebær;change danish name based on latin name;NA
Prunus mahaleb;NA;NA;Weichsel;change danish name based on latin name;NA
Prunus padus;NA;NA;Almindelig hæg;change danish name based on latin name;NA
Prunus padus;NA;Select;Almindelig hæg, enstammet;change danish name based on latin name;NA
Prunus persica;NA;NA;Fersken;change danish name based on latin name;NA
Prunus sachalinensis;NA;NA;Sakhalinkirsebær;change danish name based on latin name;NA
Prunus sargentii;NA;Rancho;Sakhalinkirsebær;change danish name based on latin name;NA
Prunus sargentii;NA;NA;Sakhalinkirsebær;change danish name based on latin name;NA
Prunus serrula;NA;NA;Tibetansk kirsebær;change danish name based on latin name;NA
Prunus serrulata;NA;Shirofugen;Japansk kirsebær;change danish name based on latin name;NA
Prunus serrulata;NA;Kanzan;Japansk kirsebær;change danish name based on latin name;NA
Prunus serrulata;NA;Shirotae;Japansk prydkirsebær;change danish name based on latin name;NA
Prunus serrulata;NA;Amanogawa;Japansk søjlekirsebær;change danish name based on latin name;NA
Prunus sp.;NA;NA;Kirsebær/blomme;change danish name based on latin name;NA
Prunus spinosa;NA;NA;Slåen;change danish name based on latin name;NA
Prunus subhirtella;NA;Accolade;Japansk kirsebær;change danish name based on latin name;NA
Prunus subhirtella;NA;Hally Jolivette;Japansk prydkirsebær;change danish name based on latin name;NA
Prunus subhirtella;NA;Autumnalis;Oktoberkirsebær;change danish name based on latin name;NA
Prunus umineko;NA;NA;Prydkirsebær;change danish name based on latin name;NA
Prunus yedoensis;NA;NA;Yoshino-kirsebær;change danish name based on latin name;NA
Pseudotsuga menziesii;var. glauca;NA;Blå douglasgran;change danish name based on latin name;NA
Pseudotsuga menziesii;NA;NA;Douglasgran;change danish name based on latin name;NA
Pseudotsuga menziesii;var. caesia;NA;Douglasgran var. caesia;change danish name based on latin name;NA
Pseudotsuga menziesii;var. menziezii;NA;Grøn douglasgran;change danish name based on latin name;NA
Pseudotsuga sp.;NA;NA;Douglasgran;change danish name based on latin name;NA
Pterocarya fraxinifolia;NA;NA;Kaukasisk vingevalnød;change danish name based on latin name;NA
Pterocarya rhederiana;NA;NA;Vingevalnød sp;change danish name based on latin name;NA
Pterocarya rhoifolia;NA;NA;Rhusbladet vingevalnød;change danish name based on latin name;NA
Pterocarya sp.;NA;NA;Vingevalnød;change danish name based on latin name;NA
Pyrus calleryana;NA;NA;Kinapære;change danish name based on latin name;NA
Pyrus calleryana;NA;Chanticleer;Kinapære;change danish name based on latin name;NA
Pyrus caucasica;NA;NA;Prydpære;change danish name based on latin name;NA
Pyrus communis;NA;Beech Hill;Almindelig pære;change danish name based on latin name;NA
Pyrus communis;NA;Charneau;Charneau-pære;change danish name based on latin name;NA
