order,family,genus,art,art_id,color
Lamiales,Bignoniaceae,Catalpa,Catalpa bignonioides,122,#48C16E
Lamiales,Bignoniaceae,Catalpa,Catalpa hybr. erubescens,123,#47C06F
Lamiales,Oleaceae,Fraxinus,Fraxinus americana,124,#46C06F
Lamiales,Oleaceae,Fraxinus,Fraxinus angustifolia,125,#45BF6F
Lamiales,Oleaceae,Fraxinus,Fraxinus excelsior,126,#44BF70
Lamiales,Oleaceae,Fraxinus,Fraxinus ornus,127,#43BF70
Lamiales,Oleaceae,Fraxinus,Fraxinus pennsylvanica,128,#42BE71
Lamiales,Oleaceae,Fraxinus,Fraxinus sp.,129,#41BE71
Lamiales,Oleaceae,Osmanthus,Osmanthus heterophyllus,130,#41BD72
Lamiales,Oleaceae,Phillyrea,Phillyrea vilmoriniana,131,#40BD72
Lamiales,Oleaceae,Syringa,Syringa vulgaris,132,#3FBC73
Lamiales,Paulowniaceae,Paulownia,Paulownia tomentosa,133,#3FBC73
Lamiales,Scrophulariaceae,Buddleja,Buddleja davidii,134,#3EBC73
Laurales,Calycanthaceae,Calycanthus,Calycanthus floridus,135,#3DBC74
Magnoliales,Annonaceae,Asimina,Asimina triloba,136,#3CBC74
Magnoliales,Magnoliaceae,Liriodendron,Liriodendron tulipifera,137,#3BBB75
Magnoliales,Magnoliaceae,Magnolia,Magnolia hybr.,138,#3BBB75
Magnoliales,Magnoliaceae,Magnolia,Magnolia hybr. loebneri,139,#3ABA76
Magnoliales,Magnoliaceae,Magnolia,Magnolia hybr. soulangeana,140,#3ABA76
Magnoliales,Magnoliaceae,Magnolia,Magnolia hybr. thompsoniana,141,#39B977
Magnoliales,Magnoliaceae,Magnolia,Magnolia kobus,142,#38B977
Magnoliales,Magnoliaceae,Magnolia,Magnolia sp.,143,#38B977
Malpighiales,Salicaceae,Populus,Populus acuminata,144,#37B878
Malpighiales,Salicaceae,Populus,Populus alba,145,#36B879
Malpighiales,Salicaceae,Populus,Populus balsamifera,146,#35B779
Malpighiales,Salicaceae,Populus,Populus hybr. canadensis,147,#35B779
Malpighiales,Salicaceae,Populus,Populus hybr. canescens,148,#34B679
